SETTLEMENTDATE,REGIONID,RRP
2025/06/30 15:40:00,NSW1,200.0
2025/06/30 15:45:00,NSW1,259.52506
2025/06/30 15:50:00,NSW1,299.99
2025/06/30 15:55:00,NSW1,299.99
2025/06/30 16:00:00,NSW1,299.99
2025/06/30 16:05:00,NSW1,299.99
2025/06/30 16:10:00,NSW1,211.12843
2025/06/30 16:15:00,NSW1,260.72958
2025/06/30 16:20:00,NSW1,218.26333
2025/06/30 16:25:00,NSW1,269.67906
2025/06/30 16:30:00,NSW1,267.09674
2025/06/30 16:35:00,NSW1,299.99
2025/06/30 16:40:00,NSW1,299.48562
2025/06/30 16:45:00,NSW1,309.47263
2025/06/30 16:50:00,NSW1,331.15459
2025/06/30 16:55:00,NSW1,377.13892
2025/06/30 17:00:00,NSW1,381.31913
2025/06/30 17:05:00,NSW1,339.68098
2025/06/30 17:10:00,NSW1,329.30499
2025/06/30 17:15:00,NSW1,336.45616
2025/06/30 17:20:00,NSW1,325.8266
2025/06/30 17:25:00,NSW1,324.34106
2025/06/30 17:30:00,NSW1,370.03889
2025/06/30 17:35:00,NSW1,365.35119
2025/06/30 17:40:00,NSW1,394.03626
2025/06/30 17:45:00,NSW1,328.23345
2025/06/30 17:50:00,NSW1,332.45535
2025/06/30 17:55:00,NSW1,342.41957
2025/06/30 18:00:00,NSW1,394.00558
2025/06/30 18:05:00,NSW1,324.43898
2025/06/30 18:10:00,NSW1,299.99
2025/06/30 18:15:00,NSW1,317.21448
2025/06/30 18:20:00,NSW1,304.57721
2025/06/30 18:25:00,NSW1,299.99
2025/06/30 18:30:00,NSW1,290.73829
2025/06/30 18:35:00,NSW1,296.45716
2025/06/30 18:40:00,NSW1,299.99
2025/06/30 18:45:00,NSW1,302.74
2025/06/30 18:50:00,NSW1,299.99
2025/06/30 18:55:00,NSW1,299.99
2025/06/30 19:00:00,NSW1,299.99
2025/06/30 19:05:00,NSW1,299.59
2025/06/30 19:10:00,NSW1,299.41728
2025/06/30 19:15:00,NSW1,299.99
2025/06/30 19:20:00,NSW1,299.99
2025/06/30 19:25:00,NSW1,299.99
2025/06/30 19:30:00,NSW1,289.50876
2025/06/30 19:35:00,NSW1,299.99
2025/06/30 19:40:00,NSW1,295.9405
2025/06/30 19:45:00,NSW1,299.99
2025/06/30 19:50:00,NSW1,253.59014
2025/06/30 19:55:00,NSW1,268.96676
2025/06/30 20:00:00,NSW1,256.55777
2025/06/30 20:05:00,NSW1,278.43012
2025/06/30 20:10:00,NSW1,272.52513
2025/06/30 20:15:00,NSW1,256.75062
2025/06/30 20:20:00,NSW1,258.22331
2025/06/30 20:25:00,NSW1,252.90598
2025/06/30 20:30:00,NSW1,260.7235
2025/06/30 20:35:00,NSW1,233.98175
2025/06/30 20:40:00,NSW1,237.03253
2025/06/30 20:45:00,NSW1,285.94115
2025/06/30 20:50:00,NSW1,254.0765
2025/06/30 20:55:00,NSW1,250.96
2025/06/30 21:00:00,NSW1,250.96
2025/06/30 21:05:00,NSW1,204.9905
2025/06/30 21:10:00,NSW1,250.19536
2025/06/30 21:15:00,NSW1,200.01
2025/06/30 21:20:00,NSW1,210.4628
2025/06/30 21:25:00,NSW1,211.10699
2025/06/30 21:30:00,NSW1,206.33057
2025/06/30 21:35:00,NSW1,200.01
2025/06/30 21:40:00,NSW1,200.01
2025/06/30 21:45:00,NSW1,200.01
2025/06/30 21:50:00,NSW1,200.43307
2025/06/30 21:55:00,NSW1,176.19451
2025/06/30 22:00:00,NSW1,180.01
2025/06/30 22:05:00,NSW1,173.94176
2025/06/30 22:10:00,NSW1,200.01
2025/06/30 22:15:00,NSW1,180.61735
2025/06/30 22:20:00,NSW1,174.60608
2025/06/30 22:25:00,NSW1,167.97838
2025/06/30 22:30:00,NSW1,160.0
2025/06/30 22:35:00,NSW1,168.89392
2025/06/30 22:40:00,NSW1,180.05905
2025/06/30 22:45:00,NSW1,180.01
2025/06/30 22:50:00,NSW1,160.0
2025/06/30 22:55:00,NSW1,164.68528
2025/06/30 23:00:00,NSW1,138.41659
2025/06/30 23:05:00,NSW1,148.94722
2025/06/30 23:10:00,NSW1,153.76156
2025/06/30 23:15:00,NSW1,166.85776
2025/06/30 23:20:00,NSW1,165.0
2025/06/30 23:25:00,NSW1,160.0
2025/06/30 23:30:00,NSW1,129.74975
2025/06/30 23:35:00,NSW1,142.89028
2025/06/30 23:40:00,NSW1,142.50459
2025/06/30 23:45:00,NSW1,145.90701
2025/06/30 23:50:00,NSW1,136.59651
2025/06/30 23:55:00,NSW1,136.74498
2025/07/01 00:00:00,NSW1,108.89
2025/07/01 00:05:00,NSW1,176.71
2025/07/01 00:10:00,NSW1,182.67388
2025/07/01 00:15:00,NSW1,169.60501
2025/07/01 00:20:00,NSW1,185.72053
2025/07/01 00:25:00,NSW1,185.85217
2025/07/01 00:30:00,NSW1,185.97237
2025/07/01 00:35:00,NSW1,182.97848
2025/07/01 00:40:00,NSW1,185.00631
2025/07/01 00:45:00,NSW1,158.50294
2025/07/01 00:50:00,NSW1,178.59363
2025/07/01 00:55:00,NSW1,162.36247
2025/07/01 01:00:00,NSW1,159.87552
2025/07/01 01:05:00,NSW1,159.9005
2025/07/01 01:10:00,NSW1,179.06891
2025/07/01 01:15:00,NSW1,159.99749
2025/07/01 01:20:00,NSW1,176.94
2025/07/01 01:25:00,NSW1,157.47062
2025/07/01 01:30:00,NSW1,157.48581
2025/07/01 01:35:00,NSW1,176.71
2025/07/01 01:40:00,NSW1,175.62324
